S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1091,France,2021,Phishing,IT,"76,020,000.00","573,328.00",Insider,Zero-day,AI-based Detection,10
1092,UK,2019,Malware,Government,"46,270,000.00","798,717.00",Hacker Group,Social Engineering,Encryption,10
1093,Brazil,2019,DDoS,Communications,"59,860,000.00","899,413.00",Nation-state,Weak Passwords,Encryption,11
1094,France,2017,SQL Injection,Healthcare,"18,750,000.00","436,009.00",Nation-state,Social Engineering,AI-based Detection,44
1095,UK,2020,SQL Injection,Retail,"56,300,000.00","142,291.00",Nation-state,Weak Passwords,VPN,29
1096,Germany,2019,Man in the Middle,Government,"64,800,000.00","276,197.00",Unknown,Zero-day,Firewall,2
1097,Russia,2020,Ransomware,IT,"33,610,000.00","807,918.00",Hacker Group,Social Engineering,Antivirus,37
1098,France,2021,Man in the Middle,Communications,"90,990,000.00","483,484.00",Hacker Group,Unpatched Software,VPN,2
1099,Russia,2015,Ransomware,IT,"41,790,000.00","7,290.00",Insider,Weak Passwords,AI-based Detection,32
1100,India,2022,DDoS,IT,"38,690,000.00","333,967.00",Insider,Zero-day,Firewall,26
1101,China,2020,Man in the Middle,Education,"84,400,000.00","840,118.00",Hacker Group,Zero-day,Encryption,58
1102,USA,2024,Malware,Healthcare,"69,460,000.00","187,312.00",Nation-state,Zero-day,VPN,58
1103,Brazil,2024,DDoS,IT,"34,460,000.00","470,727.00",Unknown,Weak Passwords,Firewall,8
1104,India,2023,Malware,Education,"95,970,000.00","629,490.00",Hacker Group,Zero-day,VPN,38
1105,France,2021,SQL Injection,Government,"98,760,000.00","904,598.00",Hacker Group,Social Engineering,AI-based Detection,11
1106,USA,2017,Ransomware,Education,"12,590,000.00","820,632.00",Unknown,Social Engineering,AI-based Detection,65
1107,Japan,2019,DDoS,Retail,"78,780,000.00","214,152.00",Insider,Weak Passwords,Firewall,7
1108,Australia,2024,DDoS,Banking,"21,110,000.00","18,766.00",Insider,Weak Passwords,Firewall,43
1109,France,2020,Malware,Banking,"50,190,000.00","760,230.00",Nation-state,Zero-day,VPN,56
1110,India,2021,Ransomware,Healthcare,"76,830,000.00","603,402.00",Insider,Zero-day,AI-based Detection,57
1111,France,2020,Man in the Middle,Healthcare,"17,490,000.00","693,907.00",Hacker Group,Zero-day,AI-based Detection,54
1112,Brazil,2017,SQL Injection,Banking,"66,780,000.00","698,892.00",Unknown,Zero-day,AI-based Detection,24
1113,UK,2015,Phishing,IT,"24,170,000.00","64,082.00",Unknown,Social Engineering,Antivirus,16
1114,USA,2022,Ransomware,IT,"38,840,000.00","687,052.00",Nation-state,Unpatched Software,Encryption,34
1115,Russia,2018,Phishing,Government,"14,980,000.00","417,488.00",Hacker Group,Weak Passwords,Encryption,23
1116,Germany,2020,Ransomware,Communications,"15,140,000.00","970,038.00",Nation-state,Zero-day,Firewall,47
1117,Japan,2016,SQL Injection,Government,"10,400,000.00","240,441.00",Unknown,Zero-day,Antivirus,17
1118,India,2020,Man in the Middle,Banking,"59,670,000.00","747,418.00",Insider,Unpatched Software,VPN,20
1119,Japan,2019,Malware,Retail,"36,660,000.00","977,185.00",Insider,Social Engineering,Antivirus,71
1120,India,2019,Malware,Retail,"58,980,000.00","267,401.00",Unknown,Zero-day,Firewall,20
1121,Germany,2022,Ransomware,Retail,"19,470,000.00","496,271.00",Hacker Group,Unpatched Software,AI-based Detection,20
1122,France,2015,Phishing,Banking,"64,620,000.00","104,619.00",Insider,Unpatched Software,Antivirus,68
1123,Russia,2024,Ransomware,Healthcare,"98,250,000.00","877,571.00",Insider,Weak Passwords,Antivirus,19
1124,Japan,2020,Ransomware,Healthcare,"41,880,000.00","93,314.00",Hacker Group,Unpatched Software,VPN,24
1125,Brazil,2020,DDoS,Government,"13,220,000.00","790,415.00",Hacker Group,Zero-day,Encryption,52
1126,Germany,2020,Ransomware,IT,"54,650,000.00","107,180.00",Nation-state,Zero-day,Antivirus,68
1127,Japan,2018,Phishing,IT,"72,010,000.00","401,960.00",Nation-state,Unpatched Software,VPN,44
1128,USA,2020,Ransomware,Communications,"93,890,000.00","602,474.00",Unknown,Social Engineering,VPN,71
1129,Australia,2024,Phishing,Education,"18,640,000.00","701,144.00",Hacker Group,Unpatched Software,Antivirus,41
1130,UK,2024,Malware,Education,"64,050,000.00","116,714.00",Insider,Social Engineering,Encryption,37
1131,France,2016,Man in the Middle,IT,"41,790,000.00","453,408.00",Nation-state,Social Engineering,VPN,8
1132,UK,2022,Phishing,Retail,"13,370,000.00","40,843.00",Unknown,Weak Passwords,Encryption,66
1133,Australia,2015,Man in the Middle,Healthcare,"1,620,000.00","336,650.00",Hacker Group,Zero-day,VPN,35
1134,China,2017,Phishing,Healthcare,"92,640,000.00","911,233.00",Hacker Group,Weak Passwords,AI-based Detection,18
1135,Brazil,2023,Ransomware,Communications,"32,180,000.00","812,908.00",Hacker Group,Weak Passwords,Antivirus,12
1136,China,2019,SQL Injection,Education,"64,260,000.00","796,878.00",Nation-state,Zero-day,Antivirus,26
1137,Japan,2023,Man in the Middle,Government,"81,570,000.00","738,014.00",Unknown,Social Engineering,Antivirus,24
1138,USA,2021,DDoS,Education,"87,320,000.00","315,915.00",Nation-state,Social Engineering,Antivirus,52
1139,China,2022,Ransomware,Education,"70,440,000.00","164,734.00",Nation-state,Unpatched Software,Firewall,7
1140,India,2024,Man in the Middle,IT,"1,750,000.00","617,939.00",Unknown,Zero-day,Firewall,22
1141,Germany,2021,Phishing,Healthcare,"96,810,000.00","374,164.00",Hacker Group,Weak Passwords,Antivirus,53
1142,USA,2020,Phishing,Banking,"74,510,000.00","332,766.00",Hacker Group,Weak Passwords,Antivirus,53
1143,Brazil,2018,Phishing,Healthcare,"2,520,000.00","414,899.00",Unknown,Weak Passwords,Encryption,37
1144,Brazil,2017,DDoS,Retail,"81,630,000.00","140,371.00",Hacker Group,Zero-day,Encryption,13
1145,Australia,2019,Ransomware,Education,"43,530,000.00","729,109.00",Insider,Weak Passwords,VPN,22
1146,UK,2020,DDoS,Education,"84,280,000.00","776,200.00",Unknown,Weak Passwords,Encryption,49
1147,Russia,2019,Phishing,Healthcare,"17,600,000.00","839,921.00",Unknown,Zero-day,Antivirus,5
1148,France,2019,Malware,Education,"31,350,000.00","312,314.00",Unknown,Social Engineering,AI-based Detection,35
1149,Australia,2024,Man in the Middle,Healthcare,"65,720,000.00","299,613.00",Hacker Group,Zero-day,Firewall,20
1150,India,2016,Phishing,Banking,"43,810,000.00","250,482.00",Insider,Weak Passwords,VPN,20
1151,Brazil,2021,DDoS,Banking,"84,410,000.00","230,110.00",Unknown,Social Engineering,Antivirus,51
1152,Australia,2015,SQL Injection,Retail,"55,780,000.00","852,650.00",Nation-state,Social Engineering,AI-based Detection,50
1153,Germany,2024,DDoS,Communications,"67,470,000.00","337,890.00",Unknown,Weak Passwords,Antivirus,35
1154,Japan,2016,Malware,Education,"8,080,000.00","557,108.00",Nation-state,Zero-day,Firewall,17
1155,Australia,2022,DDoS,Communications,"46,200,000.00","299,968.00",Insider,Zero-day,Antivirus,46
1156,China,2022,Phishing,Communications,"72,060,000.00","459,296.00",Nation-state,Weak Passwords,AI-based Detection,13
1157,India,2019,Ransomware,Communications,"90,480,000.00","46,972.00",Nation-state,Social Engineering,VPN,23
1158,UK,2022,Malware,Healthcare,"21,260,000.00","602,041.00",Hacker Group,Unpatched Software,AI-based Detection,25
1159,Japan,2016,Phishing,Banking,"82,930,000.00","36,797.00",Insider,Unpatched Software,VPN,2
1160,China,2021,SQL Injection,Healthcare,"23,150,000.00","730,762.00",Insider,Social Engineering,VPN,19
1161,Russia,2016,Malware,Government,"66,190,000.00","91,194.00",Hacker Group,Unpatched Software,Encryption,72
1162,India,2015,SQL Injection,Banking,"95,810,000.00","42,883.00",Unknown,Zero-day,Encryption,37
1163,UK,2024,SQL Injection,Retail,"48,330,000.00","422,592.00",Nation-state,Unpatched Software,VPN,37
1164,India,2015,Man in the Middle,Healthcare,"29,540,000.00","837,320.00",Unknown,Social Engineering,VPN,14
1165,USA,2020,Phishing,Banking,"44,080,000.00","708,034.00",Unknown,Zero-day,AI-based Detection,39
1166,Japan,2024,Phishing,IT,"91,710,000.00","47,841.00",Hacker Group,Weak Passwords,Antivirus,23
1167,Japan,2015,SQL Injection,Banking,"73,940,000.00","274,703.00",Nation-state,Social Engineering,Encryption,6
1168,Australia,2021,Malware,Healthcare,"10,350,000.00","776,819.00",Insider,Unpatched Software,VPN,64
1169,Germany,2019,Man in the Middle,IT,"89,600,000.00","544,648.00",Unknown,Weak Passwords,Antivirus,47
1170,China,2024,Man in the Middle,Government,"11,990,000.00","735,203.00",Insider,Zero-day,VPN,66
1171,India,2018,SQL Injection,Education,"77,020,000.00","424,342.00",Unknown,Social Engineering,Antivirus,57
1172,Russia,2018,Malware,Retail,"78,820,000.00","155,353.00",Unknown,Weak Passwords,VPN,67
1173,Germany,2020,DDoS,Banking,"64,640,000.00","735,855.00",Insider,Unpatched Software,Firewall,23
1174,France,2016,Man in the Middle,IT,"11,910,000.00","765,453.00",Unknown,Social Engineering,Antivirus,39
1175,Japan,2024,SQL Injection,Education,"82,520,000.00","788,243.00",Insider,Social Engineering,VPN,38
1176,Germany,2017,Phishing,Banking,"69,850,000.00","253,058.00",Hacker Group,Social Engineering,Encryption,44
1177,Australia,2022,Phishing,Healthcare,"80,110,000.00","537,530.00",Nation-state,Zero-day,Encryption,14
1178,China,2023,SQL Injection,Banking,"2,460,000.00","95,779.00",Nation-state,Zero-day,VPN,43
1179,France,2024,Phishing,Healthcare,"59,790,000.00","906,160.00",Unknown,Zero-day,VPN,48
1180,Russia,2019,Ransomware,Education,"11,060,000.00","490,910.00",Insider,Zero-day,AI-based Detection,58
1181,UK,2020,SQL Injection,Banking,"73,690,000.00","522,097.00",Hacker Group,Weak Passwords,VPN,63
1182,Germany,2016,Man in the Middle,Retail,"53,570,000.00","218,143.00",Nation-state,Unpatched Software,Encryption,27
1183,Germany,2018,Malware,IT,"30,200,000.00","667,023.00",Unknown,Zero-day,Antivirus,26
1184,Australia,2023,Malware,Education,"67,230,000.00","362,308.00",Unknown,Social Engineering,AI-based Detection,5
1185,Russia,2023,DDoS,IT,"86,810,000.00","717,258.00",Insider,Unpatched Software,Firewall,16
1186,Brazil,2018,Man in the Middle,Retail,"76,390,000.00",984.00,Insider,Unpatched Software,Firewall,56
1187,Russia,2023,DDoS,Communications,"96,610,000.00","956,064.00",Insider,Weak Passwords,Antivirus,45
1188,Australia,2024,Malware,Retail,"64,300,000.00","891,367.00",Nation-state,Social Engineering,Firewall,21
1189,China,2019,Man in the Middle,IT,"79,330,000.00","842,637.00",Nation-state,Unpatched Software,AI-based Detection,55
1190,USA,2015,DDoS,IT,"45,910,000.00","772,018.00",Hacker Group,Weak Passwords,Encryption,46
1191,Australia,2022,Malware,IT,"41,670,000.00","945,897.00",Insider,Weak Passwords,Firewall,66
1192,Germany,2018,SQL Injection,Banking,"81,330,000.00","508,544.00",Insider,Unpatched Software,VPN,45
1193,Australia,2021,Ransomware,Healthcare,"91,800,000.00","125,309.00",Unknown,Social Engineering,Antivirus,13
1194,UK,2024,Man in the Middle,IT,"3,690,000.00","529,410.00",Insider,Zero-day,Firewall,59
1195,Australia,2018,Phishing,Education,"24,250,000.00","665,381.00",Insider,Unpatched Software,AI-based Detection,61
1196,Japan,2019,Man in the Middle,Communications,"89,500,000.00","163,110.00",Nation-state,Zero-day,Encryption,35
1197,Russia,2019,Ransomware,IT,"60,240,000.00","354,784.00",Hacker Group,Social Engineering,AI-based Detection,65
1198,Germany,2022,Ransomware,Education,"7,650,000.00","643,306.00",Hacker Group,Zero-day,Encryption,50
1199,Australia,2016,Malware,Communications,"44,930,000.00","23,249.00",Insider,Social Engineering,Firewall,1
1200,USA,2015,SQL Injection,Retail,"26,980,000.00","763,017.00",Insider,Social Engineering,Firewall,24
1201,Russia,2015,Ransomware,Retail,"84,080,000.00","71,334.00",Unknown,Unpatched Software,AI-based Detection,26
1202,Australia,2019,SQL Injection,Government,"99,200,000.00","605,470.00",Nation-state,Unpatched Software,Encryption,18
1203,India,2023,SQL Injection,Government,"40,630,000.00","356,387.00",Nation-state,Zero-day,Antivirus,11
1204,China,2023,Malware,IT,"11,890,000.00","260,907.00",Insider,Weak Passwords,AI-based Detection,31
1205,Japan,2019,Man in the Middle,IT,"73,710,000.00","560,693.00",Hacker Group,Weak Passwords,Firewall,1
1206,Brazil,2015,Phishing,IT,"16,440,000.00","82,841.00",Insider,Social Engineering,Encryption,36
1207,Russia,2021,Malware,Government,"51,050,000.00","262,500.00",Nation-state,Social Engineering,AI-based Detection,27
1208,UK,2023,Malware,IT,"49,130,000.00","116,201.00",Nation-state,Zero-day,Firewall,14
1209,China,2016,Phishing,IT,"17,060,000.00","44,473.00",Unknown,Weak Passwords,VPN,67
1210,France,2017,Ransomware,IT,"93,150,000.00","372,975.00",Hacker Group,Weak Passwords,Firewall,64
1211,France,2018,DDoS,Government,"66,400,000.00","613,192.00",Insider,Weak Passwords,VPN,50
1212,India,2017,SQL Injection,Government,"20,210,000.00","421,023.00",Insider,Unpatched Software,Encryption,72
1213,India,2015,Ransomware,Healthcare,"1,480,000.00","818,172.00",Unknown,Social Engineering,VPN,30
1214,Russia,2018,Ransomware,Education,"22,770,000.00","828,880.00",Hacker Group,Unpatched Software,Antivirus,69
1215,Germany,2017,Man in the Middle,Government,"56,150,000.00","487,668.00",Hacker Group,Unpatched Software,AI-based Detection,72
1216,France,2020,Ransomware,Communications,"10,520,000.00","253,094.00",Hacker Group,Unpatched Software,VPN,19
1217,China,2015,SQL Injection,Communications,"34,840,000.00","712,886.00",Hacker Group,Weak Passwords,Antivirus,7
1218,China,2019,Phishing,IT,"5,050,000.00","65,176.00",Unknown,Weak Passwords,Encryption,49
1219,Germany,2020,SQL Injection,IT,"54,590,000.00","248,356.00",Nation-state,Weak Passwords,AI-based Detection,25
1220,China,2020,DDoS,Education,"52,360,000.00","499,615.00",Hacker Group,Unpatched Software,Antivirus,19
1221,Russia,2016,Man in the Middle,Communications,"10,200,000.00","446,917.00",Unknown,Unpatched Software,Firewall,1
1222,USA,2023,SQL Injection,Education,"77,960,000.00","164,892.00",Insider,Weak Passwords,Firewall,63
1223,UK,2022,SQL Injection,IT,"61,970,000.00","627,852.00",Nation-state,Unpatched Software,VPN,23
1224,UK,2016,DDoS,Banking,"61,150,000.00","219,846.00",Insider,Social Engineering,AI-based Detection,13
1225,Australia,2024,Malware,Education,"83,040,000.00","862,049.00",Insider,Unpatched Software,Antivirus,43
1226,USA,2015,Man in the Middle,Education,"37,180,000.00","270,984.00",Nation-state,Zero-day,Encryption,28
1227,India,2022,Malware,Government,"27,090,000.00","979,810.00",Insider,Weak Passwords,VPN,34
1228,Germany,2015,SQL Injection,Government,"720,000.00","944,106.00",Insider,Unpatched Software,VPN,2
1229,Russia,2023,Phishing,Banking,"9,240,000.00","612,761.00",Nation-state,Unpatched Software,Encryption,71
1230,Australia,2018,Malware,Communications,"8,690,000.00","813,960.00",Hacker Group,Weak Passwords,VPN,6
1231,Germany,2021,DDoS,Healthcare,"32,070,000.00","510,895.00",Unknown,Weak Passwords,Antivirus,6
1232,India,2023,Malware,Healthcare,"71,940,000.00","652,957.00",Insider,Weak Passwords,Encryption,65
1233,Japan,2022,Ransomware,IT,"84,090,000.00","991,854.00",Unknown,Unpatched Software,VPN,11
1234,India,2018,Ransomware,Retail,"56,060,000.00","382,041.00",Unknown,Weak Passwords,Encryption,4
1235,USA,2015,Man in the Middle,Government,"47,760,000.00","428,556.00",Unknown,Weak Passwords,Antivirus,15
1236,UK,2019,SQL Injection,Banking,"79,340,000.00","455,556.00",Insider,Social Engineering,Firewall,1
1237,Australia,2022,Ransomware,Healthcare,"17,580,000.00","18,399.00",Unknown,Zero-day,Firewall,14
1238,Germany,2016,Man in the Middle,Government,"97,790,000.00","984,519.00",Nation-state,Unpatched Software,Firewall,57
1239,Brazil,2021,DDoS,Retail,"75,100,000.00","740,795.00",Hacker Group,Unpatched Software,Firewall,12
1240,UK,2019,SQL Injection,Communications,"39,580,000.00","483,585.00",Unknown,Unpatched Software,Encryption,13
1241,Brazil,2021,Ransomware,Healthcare,"78,080,000.00","989,151.00",Unknown,Social Engineering,AI-based Detection,2
1242,Germany,2016,SQL Injection,Government,"63,890,000.00","946,613.00",Insider,Social Engineering,AI-based Detection,21
1243,Australia,2021,Ransomware,Banking,"24,330,000.00","77,845.00",Insider,Social Engineering,AI-based Detection,26
1244,India,2020,Ransomware,IT,"70,910,000.00","403,494.00",Hacker Group,Social Engineering,Firewall,3
1245,Germany,2018,Man in the Middle,Banking,"23,320,000.00","524,693.00",Unknown,Unpatched Software,VPN,63
1246,UK,2016,Phishing,Education,"9,840,000.00","628,589.00",Unknown,Unpatched Software,Encryption,8
1247,Australia,2018,Man in the Middle,Healthcare,"34,290,000.00","943,349.00",Nation-state,Zero-day,Antivirus,5
1248,Brazil,2018,DDoS,Retail,"1,580,000.00","100,633.00",Insider,Zero-day,Encryption,53
1249,France,2017,Phishing,Government,"59,640,000.00","551,515.00",Unknown,Zero-day,AI-based Detection,37
1250,Germany,2023,Man in the Middle,Banking,"80,970,000.00","289,046.00",Nation-state,Zero-day,Encryption,41
1251,Australia,2021,Malware,Retail,"22,480,000.00","70,067.00",Insider,Weak Passwords,VPN,22
1252,France,2022,Phishing,Banking,"69,990,000.00","366,596.00",Insider,Weak Passwords,AI-based Detection,65
1253,Japan,2021,SQL Injection,IT,"51,240,000.00","452,476.00",Nation-state,Zero-day,VPN,41
1254,Japan,2020,SQL Injection,Banking,"70,140,000.00","575,065.00",Insider,Weak Passwords,Encryption,61
1255,Japan,2024,Man in the Middle,Education,"68,350,000.00","474,131.00",Insider,Unpatched Software,Firewall,41
1256,USA,2016,Phishing,Education,"86,300,000.00","702,702.00",Hacker Group,Zero-day,Encryption,14
1257,Australia,2023,DDoS,Government,"97,180,000.00","692,900.00",Unknown,Social Engineering,Encryption,72
1258,Brazil,2021,SQL Injection,IT,"92,400,000.00","654,303.00",Hacker Group,Unpatched Software,AI-based Detection,15
1259,Russia,2022,Ransomware,Banking,"50,110,000.00","851,222.00",Insider,Weak Passwords,Encryption,16
1260,Australia,2016,Man in the Middle,Government,"35,590,000.00","729,762.00",Insider,Social Engineering,VPN,6
1261,USA,2022,DDoS,Healthcare,"56,890,000.00","388,698.00",Nation-state,Social Engineering,VPN,35
1262,Australia,2019,SQL Injection,Communications,"86,790,000.00","293,647.00",Nation-state,Social Engineering,AI-based Detection,37
